User_ID,Age,Gender,Income_Level,Browsing_Time (mins),Discount (%),Coupon_Category,Previous_Purchases,Purchase_Intention
U1088,45,Male,High,6,80,Clothing,9,1
U1089,55,Female,High,15,60,Health,6,1
U1090,35,Male,Medium,13,40,Clothing,1,0
U1091,28,Male,High,13,80,Food,10,1
U1092,31,Female,Low,2,10,Clothing,8,1
U1093,52,Male,Low,6,50,Health,9,1
U1094,24,Female,High,21,30,Electronics,1,1
U1095,50,Male,High,22,60,Health,3,1
U1096,20,Male,High,14,60,Electronics,8,1
U1097,54,Male,High,11,30,Travel,0,0
U1098,44,Male,Medium,24,70,Entertainment,6,1
U1099,47,Male,Medium,13,30,Entertainment,4,0
U1100,33,Male,Low,25,50,Food,2,1
U1101,49,Male,High,13,80,Travel,6,1
U1102,57,Female,Low,27,70,Food,5,1
U1103,43,Female,Low,6,20,Food,3,0
U1104,33,Male,Medium,16,20,Food,2,1
U1105,20,Female,Low,16,80,Entertainment,9,1
U1106,25,Female,High,29,60,Health,4,1
U1107,42,Female,Medium,9,40,Food,1,0
U1108,28,Male,Low,19,40,Health,6,1
U1109,50,Female,Low,25,40,Health,3,1
U1110,33,Female,Low,26,10,Electronics,6,1
U1111,46,Male,Low,4,80,Travel,10,1
U1112,31,Female,Medium,15,40,Food,9,1
U1113,38,Female,High,27,50,Food,8,1
U1114,26,Male,Medium,3,80,Travel,1,1
U1115,50,Male,High,19,70,Food,3,1
U1116,39,Female,Medium,28,80,Electronics,6,1
U1117,38,Male,Medium,22,70,Travel,7,1
U1118,33,Female,Low,15,30,Travel,9,1
U1119,51,Male,High,11,40,Food,2,0
U1120,41,Male,High,12,80,Entertainment,8,1
U1121,51,Female,Low,25,50,Health,6,1
U1122,56,Male,High,6,30,Entertainment,2,0
U1123,38,Female,Low,27,70,Food,9,1
U1124,48,Female,High,25,40,Food,0,1
U1125,45,Male,High,21,50,Food,6,1
U1126,35,Female,Medium,22,60,Health,6,1
U1127,45,Male,Low,14,80,Travel,7,1
U1128,37,Male,High,22,20,Food,6,1
U1129,42,Female,High,22,80,Health,6,1
U1130,51,Male,High,25,20,Health,1,1
U1131,36,Female,Low,24,70,Electronics,6,1
U1132,39,Male,Medium,25,50,Entertainment,4,1
U1133,27,Female,Medium,6,20,Electronics,10,1
U1134,27,Female,High,12,60,Food,9,1
U1135,47,Female,Medium,16,10,Clothing,7,1
U1136,55,Male,Medium,21,30,Health,3,1
U1137,47,Female,High,30,50,Entertainment,5,1
U1138,25,Male,Low,22,60,Entertainment,6,1
U1139,50,Female,Low,29,20,Entertainment,7,1
U1140,20,Female,High,1,30,Health,0,0
U1141,59,Female,Low,29,10,Travel,5,1
U1142,52,Male,Low,25,30,Clothing,1,1
U1143,27,Female,Low,2,20,Entertainment,6,1
U1144,42,Female,Low,4,30,Health,1,0
U1145,53,Male,High,5,80,Clothing,4,1
U1146,35,Male,Low,7,60,Food,1,1
U1147,55,Female,Low,19,70,Entertainment,4,1
U1148,34,Male,Medium,9,50,Electronics,4,1
U1149,55,Male,High,30,60,Entertainment,4,1
U1150,56,Female,Medium,9,70,Entertainment,7,1
U1151,19,Male,High,22,50,Health,2,1
U1152,56,Male,Low,18,80,Health,2,1
U1153,59,Male,Medium,18,60,Entertainment,2,1
U1154,32,Male,High,6,60,Travel,0,1
U1155,54,Male,High,9,80,Food,3,1
U1156,33,Male,Medium,12,30,Electronics,6,1
U1157,20,Male,High,29,40,Health,0,1
U1158,24,Female,Low,23,40,Clothing,10,1
U1159,53,Female,High,3,20,Entertainment,10,1
U1160,40,Male,Medium,26,50,Food,10,1
U1161,54,Female,Medium,30,40,Clothing,5,1
U1162,19,Male,High,29,20,Entertainment,8,1
U1163,46,Female,Low,21,80,Travel,3,1
U1164,47,Male,High,24,10,Electronics,10,1
U1165,23,Female,High,29,60,Travel,9,1
U1166,28,Female,Medium,27,50,Electronics,8,1
U1167,47,Female,Low,30,20,Travel,1,1
U1168,53,Male,Medium,9,10,Electronics,0,0
U1169,26,Male,Low,30,70,Health,0,1
U1170,37,Male,Low,9,50,Electronics,9,1
U1171,33,Male,Medium,4,80,Entertainment,6,1
U1172,20,Male,High,25,50,Food,8,1
U1173,54,Female,High,30,10,Electronics,10,1
U1174,22,Female,Low,19,50,Travel,10,1
U1175,54,Male,Medium,18,60,Travel,4,1
U1176,43,Male,Low,21,70,Entertainment,0,1
U1177,51,Female,Medium,1,60,Electronics,8,1
U1178,34,Female,Medium,16,60,Health,6,1
U1179,35,Female,Medium,15,20,Food,9,1
U1180,26,Female,Medium,28,20,Clothing,10,1
U1181,38,Female,Low,5,40,Travel,3,0
U1182,29,Male,High,14,30,Entertainment,8,1
U1183,57,Male,Low,7,20,Entertainment,8,1
U1184,28,Male,Low,21,70,Entertainment,7,1
U1185,19,Male,High,29,30,Food,8,1
U1186,37,Female,Medium,29,40,Clothing,9,1
U1187,21,Male,High,29,30,Travel,10,1
U1188,57,Female,Medium,26,70,Health,2,1
U1189,59,Female,Low,11,30,Electronics,6,1
U1190,36,Female,High,6,70,Entertainment,4,1
U1191,36,Male,Low,27,80,Travel,8,1
U1192,34,Female,Low,23,70,Electronics,10,1
U1193,49,Female,Low,15,70,Travel,7,1
U1194,36,Male,High,5,80,Health,7,1
U1195,21,Male,High,11,20,Food,3,0
U1196,41,Male,Medium,7,40,Electronics,1,0
U1197,58,Female,Low,17,50,Travel,8,1
U1198,55,Female,Medium,27,50,Health,8,1
U1199,53,Female,High,6,10,Entertainment,3,0
U1200,24,Female,Medium,24,10,Clothing,5,1
U1201,45,Female,Low,20,30,Health,2,1
U1202,53,Male,Low,25,80,Health,9,1
U1203,27,Male,Low,23,50,Clothing,5,1
U1204,37,Female,Low,4,20,Clothing,5,0
U1205,49,Female,Medium,6,40,Health,0,0
U1206,29,Female,High,5,70,Clothing,2,1
U1207,44,Female,Medium,19,60,Electronics,2,1
U1208,45,Male,Low,23,10,Clothing,4,1
U1209,49,Female,Low,4,40,Food,7,1
U1210,46,Male,Low,14,60,Food,0,1
U1211,51,Male,Medium,27,80,Clothing,1,1
U1212,36,Male,Medium,14,80,Clothing,7,1
U1213,38,Female,Medium,6,20,Health,4,0
U1214,59,Female,Medium,21,20,Electronics,10,1
U1215,39,Female,Low,30,70,Electronics,5,1
U1216,31,Female,Low,27,30,Electronics,8,1
U1217,57,Male,High,24,60,Entertainment,0,1
U1218,34,Female,Low,17,20,Health,0,1
U1219,60,Female,High,14,50,Food,9,1
U1220,41,Female,Low,12,50,Electronics,8,1
U1221,57,Male,Medium,4,30,Travel,5,0
U1222,29,Female,Medium,4,60,Travel,10,1
U1223,58,Male,High,3,40,Entertainment,9,1
U1224,54,Male,Low,20,60,Food,10,1
U1225,26,Female,High,11,40,Food,9,1
U1226,30,Male,High,16,20,Health,8,1
U1227,30,Female,Low,28,20,Entertainment,4,1
U1228,25,Female,Medium,15,40,Food,7,1
U1229,32,Male,High,25,50,Travel,6,1
U1230,46,Male,Low,27,80,Health,0,1
U1231,23,Female,Low,26,10,Travel,5,1
U1232,45,Female,Low,5,60,Travel,7,1
U1233,32,Male,Low,9,10,Travel,5,0
U1234,55,Female,Low,16,60,Health,2,1
U1235,34,Female,Low,6,40,Food,1,0
U1236,58,Male,High,22,80,Clothing,4,1
U1237,39,Male,Low,13,30,Clothing,4,0
U1238,46,Male,Medium,25,80,Entertainment,0,1
U1239,39,Female,Medium,26,40,Health,3,1
U1240,42,Female,Low,1,30,Entertainment,1,0
U1241,29,Female,Low,15,20,Electronics,10,1
U1242,50,Female,High,18,10,Clothing,0,1
U1243,29,Female,Low,23,10,Clothing,7,1
U1244,54,Female,Low,1,20,Electronics,8,1
U1245,19,Male,Low,3,30,Travel,6,1
U1246,28,Female,Low,25,40,Electronics,10,1
U1247,45,Female,Medium,5,10,Clothing,6,1
U1248,39,Male,Low,7,30,Electronics,2,0
U1249,47,Male,Medium,22,60,Electronics,1,1
U1250,23,Male,High,9,70,Clothing,4,1
U1251,39,Male,Low,1,20,Clothing,7,1
U1252,29,Female,Medium,17,60,Electronics,7,1
U1253,22,Male,High,17,50,Health,5,1
U1254,52,Male,Medium,21,60,Entertainment,1,1
U1255,37,Male,Low,13,10,Electronics,0,0
U1256,29,Male,Medium,20,20,Travel,2,1
U1257,42,Female,Low,24,10,Clothing,1,1
U1258,19,Male,High,19,60,Health,2,1
U1259,34,Male,Low,14,60,Clothing,7,1
U1260,45,Male,Medium,1,20,Electronics,2,0
U1261,39,Female,Low,23,30,Food,8,1
U1262,55,Male,Medium,25,50,Travel,9,1
U1263,27,Male,Low,15,80,Entertainment,5,1
U1264,25,Female,High,19,40,Food,4,1
U1265,29,Female,Medium,18,80,Clothing,0,1
U1266,40,Male,High,4,30,Clothing,1,0
U1267,29,Female,High,5,40,Travel,5,0
U1268,35,Male,High,19,30,Health,6,1
U1269,54,Male,Medium,13,80,Health,7,1
U1270,48,Female,Medium,2,40,Entertainment,8,1
U1271,46,Male,Low,26,30,Clothing,2,1
U1272,38,Female,Low,2,30,Electronics,4,0
U1273,25,Male,Low,16,80,Electronics,6,1
U1274,28,Male,High,30,50,Health,0,1
U1275,24,Female,Medium,10,50,Entertainment,3,1
U1276,43,Female,High,4,80,Entertainment,8,1
U1277,43,Female,High,24,10,Electronics,5,1
U1278,51,Male,Low,8,40,Health,7,1
U1279,37,Male,High,8,80,Health,3,1
U1280,37,Female,High,11,80,Entertainment,1,1
U1281,55,Female,Low,27,60,Electronics,7,1
U1282,58,Male,Low,4,20,Food,0,0
U1283,54,Female,Medium,30,50,Clothing,5,1
U1284,35,Male,Low,21,30,Clothing,2,1
U1285,60,Male,Low,16,10,Entertainment,5,1
U1286,32,Female,High,12,80,Entertainment,4,1
U1287,51,Male,Low,14,70,Electronics,0,1
U1288,56,Female,Medium,11,10,Electronics,8,1
U1289,23,Female,Medium,17,20,Electronics,7,1
U1290,22,Male,Medium,12,80,Food,9,1
U1291,53,Female,High,5,20,Entertainment,10,1
U1292,35,Male,Low,2,10,Health,10,1
U1293,29,Male,Medium,30,30,Electronics,6,1
U1294,56,Female,High,24,40,Food,8,1
U1295,27,Female,High,8,40,Travel,1,0
U1296,18,Male,High,30,50,Food,7,1
U1297,33,Male,Medium,2,30,Food,2,0
U1298,34,Male,Medium,4,40,Clothing,7,1
U1299,40,Female,High,1,10,Travel,7,1
U1300,45,Male,Low,13,30,Clothing,1,0
U1301,28,Male,Low,17,20,Clothing,4,1
U1302,19,Male,Low,5,30,Electronics,0,0
U1303,53,Male,Low,6,70,Travel,7,1
U1304,47,Female,High,17,20,Entertainment,4,1
U1305,48,Male,Low,16,60,Electronics,6,1
U1306,53,Male,Low,20,40,Entertainment,10,1
U1307,58,Male,Low,5,70,Food,4,1
U1308,49,Male,Medium,20,80,Health,3,1
U1309,35,Female,Low,7,80,Food,6,1
U1310,38,Female,Low,22,60,Health,0,1
U1311,27,Female,High,6,20,Food,3,0
U1312,45,Female,Medium,11,50,Travel,1,1
U1313,49,Female,Medium,13,60,Electronics,7,1
U1314,36,Female,High,8,20,Entertainment,8,1
U1315,25,Female,Low,27,80,Health,9,1
U1316,52,Female,Medium,13,10,Health,2,0
U1317,20,Female,Medium,22,30,Food,8,1
U1318,35,Female,Low,14,70,Electronics,6,1
U1319,54,Male,Low,5,30,Health,6,1
U1320,34,Male,Low,20,80,Food,7,1
U1321,48,Male,Low,23,70,Health,2,1
U1322,32,Female,Low,12,50,Health,6,1
U1323,44,Female,Low,21,80,Travel,1,1
U1324,20,Male,Medium,12,10,Food,9,1
U1325,19,Female,High,10,30,Health,1,0
U1326,58,Male,Medium,29,80,Electronics,9,1
U1327,57,Female,Low,2,50,Entertainment,3,1
U1328,23,Female,High,18,30,Clothing,3,1
U1329,20,Female,Low,1,10,Electronics,8,1
U1330,24,Female,High,16,80,Health,2,1
U1331,21,Female,Medium,6,10,Electronics,10,1
U1332,59,Male,Medium,27,60,Electronics,0,1
U1333,46,Male,High,6,10,Entertainment,3,0
U1334,39,Male,High,2,70,Travel,0,1
U1335,24,Female,Medium,6,20,Electronics,3,0
U1336,60,Female,Low,16,20,Travel,10,1
U1337,24,Male,Low,19,50,Health,4,1
U1338,23,Male,Medium,27,60,Electronics,8,1
U1339,21,Male,Low,9,70,Food,9,1
U1340,30,Male,Low,27,10,Health,1,1
U1341,19,Female,Medium,15,40,Food,4,0
U1342,36,Male,Medium,17,40,Entertainment,6,1
U1343,47,Male,Low,20,60,Travel,9,1
U1344,57,Female,High,8,30,Entertainment,6,1
U1345,34,Male,Low,17,80,Clothing,2,1
U1346,45,Male,Low,24,60,Travel,8,1
U1347,32,Male,High,29,30,Food,3,1
U1348,27,Male,Low,20,20,Clothing,5,1
U1349,48,Female,Low,19,10,Food,6,1
U1350,19,Male,Medium,18,60,Electronics,3,1
U1351,46,Female,Low,3,80,Clothing,6,1
U1352,28,Female,Medium,10,30,Clothing,2,0
U1353,42,Female,High,10,10,Clothing,9,1
U1354,55,Female,Low,10,50,Travel,8,1
U1355,29,Female,Medium,9,20,Travel,6,1
U1356,57,Male,Medium,21,60,Health,7,1
U1357,37,Female,Low,9,80,Travel,7,1
U1358,27,Female,Medium,20,30,Entertainment,6,1
U1359,21,Male,High,15,70,Electronics,3,1
U1360,32,Male,Low,3,40,Entertainment,8,1
U1361,25,Female,Medium,23,20,Electronics,6,1
U1362,59,Female,Low,13,10,Clothing,7,1
U1363,56,Male,High,17,10,Health,8,1
U1364,31,Male,Low,11,60,Food,10,1
U1365,45,Female,High,6,70,Food,9,1
U1366,60,Female,Low,24,80,Clothing,1,1
U1367,20,Male,Low,4,50,Entertainment,9,1
U1368,43,Male,Medium,11,30,Travel,10,1
U1369,37,Female,Low,27,40,Entertainment,9,1
U1370,49,Female,Medium,6,40,Clothing,4,0
U1371,52,Male,Low,23,10,Food,9,1
U1372,29,Female,Low,7,30,Electronics,0,0
U1373,55,Male,Low,17,50,Clothing,5,1
U1374,51,Female,High,18,70,Clothing,5,1
U1375,33,Male,High,5,70,Electronics,0,1
U1376,26,Male,Low,22,20,Electronics,6,1
U1377,21,Female,Medium,14,10,Entertainment,1,0
U1378,47,Female,Low,14,60,Clothing,6,1
U1379,45,Female,Medium,15,40,Food,7,1
U1380,46,Male,Low,27,20,Food,0,1
U1381,26,Male,Medium,12,60,Travel,8,1
U1382,44,Female,High,10,60,Entertainment,6,1
U1383,41,Male,High,9,20,Health,9,1
U1384,57,Male,High,9,50,Health,3,1
U1385,51,Female,High,10,50,Clothing,1,1
U1386,42,Female,Low,12,30,Electronics,6,1
U1387,51,Male,Medium,26,80,Health,7,1
U1388,58,Female,Medium,24,10,Travel,8,1
U1389,45,Female,Medium,16,40,Food,5,1
U1390,36,Female,High,25,40,Electronics,7,1
U1391,35,Male,High,14,50,Health,5,1
U1392,34,Male,Medium,2,70,Travel,6,1
U1393,29,Male,Low,21,10,Clothing,7,1
U1394,44,Male,Low,1,80,Clothing,4,1
U1395,53,Female,High,16,50,Health,7,1
U1396,34,Female,Low,24,10,Electronics,0,1
U1397,18,Female,Medium,28,20,Clothing,9,1
U1398,20,Male,Low,3,40,Travel,2,0
U1399,44,Female,High,5,60,Health,5,1
U1400,59,Male,Medium,26,30,Clothing,0,1
U1401,50,Male,Medium,11,20,Food,3,0
U1402,33,Male,Low,23,70,Health,4,1
U1403,47,Female,High,3,30,Travel,8,1
U1404,43,Male,Medium,6,20,Clothing,4,0
U1405,46,Male,High,17,20,Clothing,6,1
U1406,20,Male,Low,28,20,Entertainment,4,1
U1407,46,Female,Medium,2,30,Entertainment,9,1
U1408,58,Male,Medium,22,60,Entertainment,5,1
U1409,56,Male,Medium,3,40,Electronics,2,0
U1410,30,Female,Medium,6,60,Electronics,1,1
U1411,24,Female,Low,19,10,Entertainment,8,1
U1412,48,Female,High,4,60,Travel,8,1
U1413,58,Female,Medium,3,20,Entertainment,4,0
U1414,49,Male,Medium,5,20,Food,9,1
U1415,20,Female,Medium,2,10,Health,6,1
U1416,59,Female,Low,6,20,Clothing,8,1
U1417,37,Female,High,25,80,Travel,10,1
U1418,56,Male,Medium,2,40,Electronics,8,1
U1419,27,Female,Medium,26,30,Health,2,1
U1420,35,Female,High,14,80,Food,4,1
U1421,55,Female,High,28,10,Health,7,1
U1422,21,Female,Medium,28,60,Entertainment,10,1
U1423,18,Female,Low,2,20,Entertainment,2,0
U1424,24,Female,Medium,12,30,Travel,9,1
U1425,25,Female,Low,2,80,Travel,6,1
U1426,21,Male,Low,18,70,Health,7,1
U1427,23,Female,Low,5,70,Health,7,1
U1428,25,Female,High,20,60,Food,1,1
U1429,35,Female,Medium,2,50,Travel,1,1
U1430,23,Female,Medium,21,20,Food,5,1
U1431,29,Female,High,30,70,Electronics,6,1
U1432,36,Male,Low,13,20,Clothing,6,1
U1433,57,Female,High,27,50,Health,2,1
U1434,55,Female,Low,17,70,Health,5,1
U1435,40,Male,Low,22,50,Travel,4,1
U1436,54,Male,Low,15,60,Clothing,6,1
U1437,54,Male,Low,7,80,Food,1,1
U1438,41,Male,High,16,70,Health,3,1
U1439,24,Male,Low,5,40,Health,5,0
U1440,35,Female,High,13,50,Clothing,5,1
U1441,45,Female,High,25,10,Health,4,1
U1442,31,Male,Low,22,40,Food,9,1
U1443,19,Male,Low,1,30,Electronics,4,0
U1444,46,Male,High,25,60,Entertainment,6,1
U1445,28,Male,Medium,3,70,Food,8,1
U1446,35,Female,Low,8,70,Health,9,1
U1447,26,Male,Low,18,70,Electronics,8,1
U1448,30,Female,Low,24,80,Entertainment,0,1
U1449,18,Female,High,29,50,Electronics,6,1
U1450,55,Male,Low,17,30,Entertainment,4,1
U1451,19,Female,Medium,25,10,Electronics,9,1
U1452,28,Female,High,27,20,Food,10,1
U1453,25,Male,High,2,50,Electronics,7,1
U1454,42,Female,High,30,40,Electronics,10,1
U1455,44,Female,High,26,30,Travel,6,1
U1456,49,Male,Low,17,60,Clothing,10,1
U1457,37,Female,Medium,8,10,Electronics,8,1
U1458,29,Male,Medium,18,30,Travel,8,1
U1459,59,Male,Low,11,20,Clothing,10,1
U1460,23,Male,High,16,10,Electronics,5,1
U1461,50,Female,Low,14,60,Travel,10,1
U1462,46,Male,High,23,60,Travel,1,1
U1463,36,Female,High,30,30,Travel,6,1
U1464,41,Male,Low,22,40,Entertainment,5,1
U1465,42,Male,High,27,30,Health,10,1
U1466,48,Female,Medium,16,80,Travel,7,1
U1467,53,Male,Low,21,40,Health,5,1
U1468,31,Female,High,20,60,Food,9,1
U1469,18,Male,Low,8,10,Travel,4,0
U1470,37,Female,Low,11,70,Entertainment,3,1
U1471,21,Female,High,28,60,Food,4,1
U1472,60,Female,Low,8,60,Travel,3,1
U1473,30,Male,Low,3,30,Entertainment,2,0
U1474,30,Female,Medium,5,20,Entertainment,7,1
U1475,35,Female,High,8,60,Health,1,1
U1476,42,Female,Low,26,60,Clothing,3,1
U1477,37,Female,Low,5,40,Travel,9,1
U1478,57,Male,Low,26,30,Health,2,1
U1479,31,Female,Low,19,30,Travel,7,1
U1480,25,Male,Medium,1,30,Clothing,6,1
U1481,31,Female,High,12,70,Health,0,1
U1482,57,Male,Medium,19,50,Clothing,7,1
U1483,37,Female,Medium,28,60,Food,1,1
U1484,45,Male,High,12,50,Health,6,1
U1485,35,Male,Medium,28,80,Travel,3,1
U1486,18,Female,High,17,30,Electronics,2,1
U1487,24,Female,High,15,10,Travel,5,0
U1488,19,Male,Low,28,60,Health,1,1
U1489,24,Female,Low,13,30,Travel,7,1
U1490,46,Male,High,29,20,Electronics,3,1
U1491,34,Female,Medium,24,80,Food,7,1
U1492,58,Female,High,28,50,Entertainment,7,1
U1493,52,Female,Low,17,30,Travel,6,1
U1494,41,Male,Low,14,30,Food,1,0
U1495,36,Female,Medium,6,30,Food,2,0
U1496,37,Male,High,14,40,Food,3,0
U1497,21,Male,Medium,19,10,Entertainment,6,1
U1498,55,Male,High,28,60,Food,3,1
U1499,29,Female,High,20,40,Food,8,1
U1500,32,Female,Medium,30,30,Clothing,0,1
U1501,36,Female,Low,6,30,Entertainment,9,1
U1502,49,Female,Medium,16,30,Health,2,1
U1503,46,Female,Medium,16,70,Travel,2,1
U1504,31,Female,Medium,7,20,Food,1,0
U1505,24,Male,High,9,30,Travel,5,0
U1506,34,Female,Medium,15,80,Entertainment,9,1
U1507,22,Female,Low,29,50,Food,7,1
U1508,34,Male,High,25,50,Electronics,3,1
U1509,29,Male,Medium,22,50,Travel,5,1
U1510,25,Male,Low,30,70,Food,6,1
U1511,19,Female,Medium,7,20,Entertainment,10,1
U1512,59,Female,Low,26,60,Travel,2,1
U1513,29,Female,Medium,26,40,Food,5,1
U1514,51,Male,Medium,27,80,Travel,0,1
U1515,19,Male,Medium,3,10,Travel,3,0
U1516,44,Male,Low,28,20,Electronics,7,1
U1517,49,Male,Medium,14,50,Electronics,3,1
U1518,19,Male,Low,23,30,Food,5,1
U1519,25,Male,Medium,19,40,Entertainment,5,1
U1520,49,Male,High,22,10,Clothing,8,1
U1521,38,Female,High,13,30,Travel,8,1
U1522,55,Female,Medium,28,10,Food,10,1
U1523,51,Male,Medium,10,40,Entertainment,6,1
U1524,21,Female,Low,4,50,Travel,6,1
U1525,35,Male,High,10,40,Electronics,6,1
U1526,27,Male,Medium,2,30,Entertainment,4,0
U1527,43,Female,Low,15,60,Health,8,1
U1528,55,Male,Medium,11,80,Health,10,1
U1529,31,Male,Medium,12,70,Food,4,1
U1530,27,Male,Low,7,30,Clothing,6,1
U1531,43,Male,Low,20,50,Clothing,0,1
U1532,48,Female,Low,13,10,Clothing,9,1
U1533,32,Male,Medium,18,60,Travel,10,1
U1534,45,Male,Low,27,40,Travel,10,1
U1535,47,Male,Low,6,40,Health,3,0
U1536,35,Female,Medium,6,70,Clothing,1,1
U1537,22,Female,Medium,23,50,Health,8,1
U1538,33,Female,Medium,19,50,Travel,3,1
U1539,38,Male,High,30,70,Travel,5,1
U1540,25,Male,High,28,60,Food,8,1
U1541,40,Female,Medium,20,50,Food,0,1
U1542,18,Male,Medium,20,40,Health,2,1
U1543,24,Male,Low,27,50,Health,7,1
U1544,57,Male,Medium,11,20,Entertainment,5,0
U1545,29,Male,Low,18,40,Food,0,1
U1546,32,Male,Low,2,70,Entertainment,7,1
U1547,44,Female,Medium,26,50,Entertainment,6,1
U1548,41,Male,Medium,21,60,Travel,7,1
U1549,30,Male,Medium,14,20,Electronics,4,0
U1550,30,Female,High,5,50,Travel,9,1
U1551,18,Female,High,9,20,Travel,3,0
U1552,50,Male,Medium,6,50,Health,10,1
U1553,55,Male,Medium,21,20,Health,10,1
U1554,57,Female,Low,23,10,Travel,6,1
U1555,23,Male,Medium,4,50,Entertainment,10,1
U1556,45,Male,High,6,80,Health,2,1
U1557,58,Male,Medium,22,10,Entertainment,8,1
U1558,21,Female,Low,23,50,Clothing,5,1
U1559,31,Male,Medium,9,70,Entertainment,10,1
U1560,46,Male,High,10,10,Food,2,0
U1561,22,Female,Low,24,30,Travel,0,1
U1562,45,Male,Low,1,80,Clothing,8,1
U1563,19,Female,Medium,18,20,Clothing,6,1
U1564,25,Male,Low,24,80,Food,9,1
U1565,54,Female,High,9,80,Food,1,1
U1566,39,Female,High,2,20,Entertainment,6,1
U1567,33,Male,High,25,70,Entertainment,0,1
U1568,21,Female,Low,15,10,Entertainment,10,1
U1569,59,Female,Medium,21,80,Food,2,1
